eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,0.0,0.0,-1,1,0,0,-1,-1,-1,1
1,0.0,0.0,-1,1,0,0,-1,-1,-1,0
2,83.72090743284565,83.72090743284565,0,1,0,0,-1,-1,-1,1
3,-79.22903750948674,83.72090743284565,0,-1,0,0,-1,-1,-1,1
4,0.0,83.72090743284565,0,0,0,0,-1,-1,-1,1
5,0.0,83.72090743284565,0,0,0,0,-1,-1,-1,1
6,2132.6542190756327,2132.6542190756327,0,1,0,0,1,-1,-1,1
7,2282.2832082603118,2282.2832082603118,0,1,1,0,1,-1,-1,1
8,0.0,2282.2832082603118,0,-1,1,0,1,-1,-1,1
9,542.8653432318991,2282.2832082603118,0,1,1,0,1,-1,1,1
10,2371.0740130996023,2371.0740130996023,0,1,1,1,1,-1,-1,1
11,2166.461142642152,2371.0740130996023,0,1,1,-1,1,-1,-1,1
12,657.7261125505155,2371.0740130996023,0,0,1,1,1,-1,-1,1
13,1377.1174884581922,2371.0740130996023,0,1,1,1,1,-1,-1,-1
14,657.7261125505155,2371.0740130996023,0,0,1,1,1,-1,-1,1
15,589.1514213764916,2371.0740130996023,-1,1,1,1,1,-1,-1,1
16,657.7261125505155,2371.0740130996023,0,0,1,1,1,-1,-1,1
17,2780.148923527175,2780.148923527175,1,1,1,1,1,-1,-1,1
18,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
19,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
20,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
21,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
22,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
23,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
24,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
25,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
26,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
27,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
28,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
29,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
30,2263.4040480539265,2780.148923527175,1,1,1,1,1,-1,0,1
31,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
32,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
33,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
34,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
35,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
36,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
37,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
38,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
39,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
40,2765.958208378487,2780.148923527175,1,1,1,0,1,-1,-1,1
41,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
42,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
